"name": "A", "value": 10, "date": "2016-01",
 "name": "B", "value": 30, "date": "2016-02",
 "name": "C", "value": 20, "date": "2016-03",
 "name": "D", "value": 40, "date": "2016-04",
 "name": "E", "value": 50, "date": "2016-05",
 "name": "F", "value": 20, "date": "2016-06",
 "name": "G", "value": 10, "date": "2016-07",
 "name": "H", "value": 30, "date": "2016-08",
 "name": "I", "value": 40, "date": "2016-09",
 "name": "J", "value": 60, "date": "2016-10",
"name": "K", "value": 20, "date": "2016-11",
"name": "L", "value": 10, "date": "2016-12"
